#NAME,V.A.0H,V.B.0H,V.C.0H,V.D.0H,V.E.0H,V.CN.A.24H,V.CN.B.24H,V.CN.C.24H,V.CN.D.24H,V.CN.E.24H,CEL.A.24H,CEL.B.24H,CEL.C.24H,CEL.D.24H,CEL.E.24H
#CLASS,A,B,C,D,E,A,B,C,D,E,A,B,CEL.C.24H,D,E
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,0.00955953869667917,0.0380436292899819,0.0234264276781992,0.00222314853411144,0.0101986939002362,0.00347366958454912,0.0015839933305544,0.00889259413644574,5.55787133527859e-05,0.00100041684035015,0.0039182992913714,0.00263998888425733,0.0105877448937057,0.000250104210087536,0.00216756982075865
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium,0,0,0,0.0176184521328331,0,0,0,0,0.0207308600805891,0,0,0,0,0.046602751146311,0
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0,0,0.00105599555370293,0.00878143670974017,0,0.000972627483673753,0,0.026872307906072,0.00791996665277199,0,0.0011671529804085,0,0.0474086424899264
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium,0.000833680700291788,0.000750312630262609,0.000305682923440322,0,0.00336251215784355,0.0011671529804085,0,0.0408503543142976,0,0.000444629706822287,0.00225093789078783,0,0.0464360150062526,0,0.00113936362373211
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;,0,0,0,0,0.0279283034597749,0,0,0,0,0.0507711546477699,0,0,0,0,0.0135334167014034
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;Olsenella_sp_GAM18,0.0168125607892177,0.00466861192163401,0.0643323607058497,0,0,0.000861470056968181,0.000444629706822287,0.00102820619702654,0,0,0.000889259413644574,0.000500208420175073,0.00163957204390718,0,0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,0,0,0,0,0,0,0.000138946783381965,2.77893566763929e-05,0.0149506738918994,0.000222314853411144,0,0.000722523273586216,0.000277893566763929,0.053744615812144,0.000694733916909824
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;,0,0,0.0614144782548284,0,0,0,0,0.00525218841183827,0,0,0,0,0.0114770043073503,0,0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;,0.0160066694456023,0.0175072947061276,0.00152841461720161,0.0248158955120189,0,0.00553008197860219,0.00102820619702654,0.00200083368070029,0.00238988467416979,0,0.00686397109906906,0.00247325274419897,0.00780880922606642,0.00147283590384883,0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae,0.000250104210087536,0.000639155203557038,0,0,0,0.037126580519661,0.000500208420175073,0.032180075031263,0,0,0.00336251215784355,0,0.00405724607475337,0,0.000222314853411144
Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Allisonella;,0.000111157426705572,0.00047241906349868,0,0,0,0.00266777824093372,0.0174795053494512,0.0103376406836182,0.013505627344727,0,0.00241767403084619,0.0145894122551063,0.00339030151451994,0.00894817284979853,0
Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;,0.00047241906349868,0,0,0,0,0.0449353897457274,0,0,0,0,0.0232874808948173,0,0,0,0
